id,count,gender,first_names,probability
0,6359.0,male,JAMES,0.99
1,2626.0,male,WILLIAM,1.0
2,1015.0,male,EDWARD,1.0
3,954.0,male,COLIN,0.99
4,5222.0,male,ROBERT,1.0
5,4110.0,male,ERIC,1.0
6,2234.0,male,VICTOR,1.0
7,294.0,male,FREDERICK,1.0
8,9931.0,male,JOHN,0.99
9,4373.0,male,PETER,1.0
10,1565.0,male,FRANK,1.0
11,91.0,male,HERBERT,1.0
12,12593.0,male,DAVID,1.0
13,445.0,male,GUY,1.0
14,547.0,male,ARTHUR,0.98
15,201.0,male,LEONARD,1.0
16,10.0,male,LAURANCE,1.0
17,1798.0,male,CHARLES,1.0
18,1173.0,female,LESLIE,0.88
19,1.0,male,CARLETON,1.0
20,8.0,female,PEARLY,1.0
21,2213.0,male,JOSEPH,0.99
22,4.0,male,HEDLEY,1.0
23,8180.0,male,DANIEL,1.0
24,3753.0,male,THOMAS,1.0
25,864.0,male,WALTER,1.0
26,416.0,male,GORDON,1.0
27,393.0,male,LAWRENCE,1.0
28,2098.0,male,GEORGE,0.99
29,319.0,male,EUGENE,0.98
30,1645.0,male,ALEXANDER,1.0
31,1882.0,male,JAY,0.9
32,62.0,male,ELTON,1.0
33,242.0,female,SYDNEY,0.95
34,230.0,male,ALFRED,1.0
35,1067.0,male,HENRY,1.0
36,4381.0,male,RICHARD,1.0
37,472.0,male,ISAAC,1.0
38,243.0,male,NORMAN,1.0
39,2443.0,male,SIMON,0.99
40,844.0,male,HARRY,0.99
41,1.0,male,FERRIER,1.0
42,390.0,male,HECTOR,1.0
43,2877.0,male,PATRICK,1.0
44,144.0,female,LE,0.56
45,174.0,male,HUGH,1.0
46,116.0,male,HARVEY,0.98
47,4.0,male,ARCHIBALD,1.0
48,1036.0,male,NEIL,1.0
49,,,MARWOOD,
50,,,AENEAS,
51,493.0,male,DONALD,1.0
52,966.0,male,FRED,0.98
53,296.0,male,HOWARD,0.96
54,1097.0,male,PHILIP,1.0
55,723.0,male,ALBERT,0.99
56,11.0,male,WILFRID,1.0
57,93.0,male,CLIFFORD,1.0
58,1.0,male,WRIGHT,1.0
59,1409.0,male,SAMUEL,1.0
60,975.0,male,RAY,0.98
61,590.0,male,ALLAN,1.0
62,176.0,male,RANDALL,0.99
63,680.0,male,FRANCIS,0.89
64,1.0,male,WILFORD,1.0
65,567.0,male,DAMIEN,1.0
66,60.0,male,CECIL,0.9
67,364.0,male,HAROLD,1.0
68,107.0,male,SIDNEY,0.76
69,3338.0,male,MATTHEW,1.0
70,652.0,male,GLENN,0.99
71,147.0,male,ERNEST,0.99
72,4.0,male,WEBSTER,1.0
73,221.0,male,STANLEY,0.96
74,43.0,male,WILFRED,1.0
75,26.0,male,BARNEY,1.0
76,1953.0,male,NICOLAS,1.0
77,750.0,male,OLIVER,0.99
78,3.0,male,MORLEY,1.0
79,11094.0,male,MICHAEL,1.0
80,657.0,male,EVAN,0.97
81,,,WRAY,
82,,,FILMER,
83,5.0,male,NERO,1.0
84,3.0,female,GOLIATH,0.67
85,380.0,male,GERALD,0.99
86,1523.0,female,JEAN,0.53
87,9.0,male,FREEMAN,1.0
88,5931.0,male,PAUL,1.0
89,,,NORVAL,
90,113.0,male,PERCY,0.99
91,770.0,male,RAYMOND,1.0
92,78.0,male,HUBERT,0.99
93,12.0,male,EARNEST,1.0
94,1020.0,male,KENNETH,1.0
95,,,SANDFORD,
96,77.0,male,REUBEN,1.0
97,5.0,male,BAZIL,1.0
98,91.0,male,REGINALD,0.99
99,,,TRUEMAN,
100,1.0,male,JOSEPHAT,1.0
101,651.0,male,ROY,0.99
102,2.0,male,OSMOND,1.0
103,603.0,male,GRAHAM,1.0
104,255.0,male,ROLAND,1.0
105,314.0,male,RALPH,1.0
106,73.0,male,ELLIS,0.63
107,1497.0,male,TYLER,0.98
108,55.0,male,ARMAND,1.0
109,8.0,male,ALPHONSE,1.0
110,10.0,male,DELBERT,1.0
111,103.0,male,ANGUS,0.96
112,,,ORVAL,
113,1031.0,male,JERRY,0.98
114,16.0,male,WILLARD,1.0
115,3.0,male,PERCIVAL,1.0
116,18.0,male,GROVER,1.0
117,397.0,male,BERNARD,1.0
118,1176.0,male,NICHOLAS,1.0
119,138.0,male,HENRI,0.98
120,102.0,male,EMERSON,0.99
121,,,HAZARD,
122,207.0,male,ABEL,0.99
123,1475.0,male,BENJAMIN,1.0
124,400.0,female,LAURENCE,0.75
125,6176.0,male,MARK,1.0
126,,,LEMOYNE,
127,35.0,male,FREDRICK,1.0
128,250.0,male,FRANKLIN,0.99
129,153.0,male,DANTE,0.98
130,84.0,male,AMOS,1.0
131,152.0,female,RAE,0.94
132,72.0,male,MURRAY,0.96
133,60.0,male,EDOUARD,0.97
134,,,PATTERSON,
135,654.0,male,LOUIS,0.99
136,2608.0,male,STEPHEN,1.0
137,396.0,male,LEWIS,1.0
138,56.0,male,FLOYD,0.98
139,76.0,male,RODERICK,1.0
140,5168.0,male,ANDREW,1.0
141,21.0,male,GARFIELD,0.9
